# Katastarske opštine (RGZ, katastar.rgz.gov.rs/JavniOglasi/katastarske-opstine), preuzeto 2026-09-24
# opština|katastarska opština|matični broj KO (KoID za eKatastar)
ada|ada|803448
ada|mol|803588
ada|obornjaca|803634
ada|utrine|803642
aleksandrovac|aleksandrovac|700029
aleksandrovac|bobote|700045
aleksandrovac|boturici|700053
aleksandrovac|bratici|700061
aleksandrovac|bzenice|700037
aleksandrovac|dasnica|700185
aleksandrovac|dobroljupci|700193
aleksandrovac|donja zleginja|700207
aleksandrovac|donji stupanj|720801
aleksandrovac|donji vratari|700215
aleksandrovac|drenca|700223
aleksandrovac|garevina|700126
aleksandrovac|gornja zleginja|700134
aleksandrovac|gornji stupanj|700169
aleksandrovac|gornji vratari|700142
aleksandrovac|grcak|700177
aleksandrovac|jelakci|700231
aleksandrovac|kozetin|700240
aleksandrovac|koznica|700258
aleksandrovac|lacisled|721018
aleksandrovac|latkovac|700266
aleksandrovac|lesenovci|700274
aleksandrovac|leskovica|700282
aleksandrovac|ljubinci|700304
aleksandrovac|mrmos|721204
aleksandrovac|novaci|700312
aleksandrovac|parcin|700339
aleksandrovac|ples|700347
aleksandrovac|ploca|700355
aleksandrovac|puhovac|700363
aleksandrovac|raklja|700371
aleksandrovac|rataje|700380
aleksandrovac|rogavcina|700401
aleksandrovac|rokci|700410
aleksandrovac|rudenice|700428
aleksandrovac|rzanica|700398
aleksandrovac|sljivovo|700525
aleksandrovac|stanjevo|700436
aleksandrovac|starci popovci|700444
aleksandrovac|strmenica|700452
aleksandrovac|stubal|700479
aleksandrovac|subotica|700487
aleksandrovac|trnavci|700509
aleksandrovac|trzac|700495
aleksandrovac|tules|700517
aleksandrovac|velika vrbnica donja|720585
aleksandrovac|velika vrbnica gornja|700070
aleksandrovac|velja glava|700088
aleksandrovac|vitkovo|700096
aleksandrovac|vranstica|700118
aleksandrovac|vrazogrnci|700100
aleksinac|aleksinac van varos|700533
aleksinac|aleksinac varos|700541
aleksinac|aleksinacki bujmir|700550
aleksinac|bankovac|700851
aleksinac|beli breg|700568
aleksinac|belja|700860
aleksinac|boboviste|700576
aleksinac|bovan|700584
aleksinac|bradarac|700592
aleksinac|cesta|701327
aleksinac|cicina|700835
aleksinac|crna bara|700843
aleksinac|cukurovac|701335
aleksinac|dasnica|700991
aleksinac|deligrad|700673
aleksinac|dobrujevac|700681
aleksinac|donja pescanica|701009
aleksinac|donje suhotno|701017
aleksinac|donji adrovac|701025
aleksinac|donji krupac|700690
aleksinac|donji ljubes|701033
aleksinac|drazevac|700703
aleksinac|glogovica|700657
aleksinac|golesnica|700916
